Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
948,"Brandon Yip",ARI,RW,-135,2," "," "," ",0,0,0,0,1,0,1
949,"Pierre-Luc Letourneau-Leblond",PIT,RW,-135,1," "," "," ",0,0,0,0,1,0,1
950,"Nick Johnson",BOS,RW,-135,9," "," "," ",0,0,-4,0,10,0,5
951,"Mitch Callahan",DET,RW,-135,1," "," "," ",0,0,0,0,0,0,0
952,"Joe Whitney",NJD,RW,-135,1," "," "," ",0,0,0,0,0,0,0
953,"Benn Ferriero",VAN,RW,-135,2," "," "," ",0,0,0,0,0,0,0
954,"Aaron Palushaj",CAR,RW,-136,2," "," "," ",0,0,-1,0,2,0,0
955,"Ty Rattie",STL,RW,-136,2," "," "," ",0,0,-2,0,4,0,0
956,"Keith Aucoin",STL,RW,-137,2," "," "," ",0,0,-3,0,1,0,0
957,"Cam Ward",CAR,G,-137,29,10,0,0.9," "," "," "," "," "," "," "
958,"Devan Dubnyk",ARI,G,-139,33,11,2,0.891," "," "," "," "," "," "," "
959,"Matt Hackett",BUF,G,-144,9,1,0,0.908," "," "," "," "," "," "," "
960,"Viktor Fasth",EDM,G,-146,12,5,0,0.903," "," "," "," "," "," "," "
961,"Anders Lindback",DAL,G,-150,23,8,2,0.891," "," "," "," "," "," "," "
962,"Nathan Lieuwen",BUF,G,-151,7,1,0,0.906," "," "," "," "," "," "," "
963,"Mark Visentin",ARI,G,-155,2,0,0,0.906," "," "," "," "," "," "," "
964,"Mike McKenna",ARI,G,-158,5,1,0,0.904," "," "," "," "," "," "," "
965,"Anders Nilsson",NYI,G,-158,20,8,0,0.896," "," "," "," "," "," "," "
966,"Niklas Backstrom",MIN,G,-159,21,5,0,0.899," "," "," "," "," "," "," "
967,"Kevin Poulin",NYI,G,-164,29,11,0,0.891," "," "," "," "," "," "," "
968,"Reto Berra",COL,G,-164,31,9,0,0.893," "," "," "," "," "," "," "
969,"Scott Clemmensen",NJD,G,-166,17,6,0,0.896," "," "," "," "," "," "," "
970,"Joey MacDonald",MTL,G,-189,12,5,0,0.89," "," "," "," "," "," "," "
971,"Joni Ortio",CGY,G,-190,10,4,0,0.891," "," "," "," "," "," "," "
972,"Dan Ellis",FLA,G,-214,21,5,1,0.879," "," "," "," "," "," "," "
973,"Jacob Markstrom",VAN,G,-257,17,2,0,0.873," "," "," "," "," "," "," "
974,"Connor Knapp",BUF,G,-258,2,0,0,0.875," "," "," "," "," "," "," "
975,"Jack Campbell",DAL,G,-268,2,0,0,0.872," "," "," "," "," "," "," "
976,"Jason LaBarbera",ANA,G,-271,8,1,0,0.87," "," "," "," "," "," "," "
977,"Calvin Heeter",PHI,G,-281,2,0,0,0.868," "," "," "," "," "," "," "
978,"Cedrick Desjardins",NYR,G,-355,2,0,0,0.846," "," "," "," "," "," "," "
979,"Sami Aittokallio",COL,G,-398,2,0,0,0.833," "," "," "," "," "," "," "
980,"Cristopher Nilstorp",DAL,G,-428,2,0,0,0.824," "," "," "," "," "," "," "
981,"Nikolai Khabibulin",CHI,G,-467,5,1,0,0.811," "," "," "," "," "," "," "
982,"Joacim Eriksson",VAN,G,-488,2,0,0,0.806," "," "," "," "," "," "," "
983,"Nathan Lawson",OTT,G,-508,2,0,0,0.8," "," "," "," "," "," "," "
984,"Martin Biron",NYR,G,-631,3,0,0,0.763," "," "," "," "," "," "," "
985,"Magnus Hellberg",NSH,G,-674,2,0,0,0.75," "," "," "," "," "," "," "
986,"Kent Simpson",CHI,G,-794,2,0,0,0.714," "," "," "," "," "," "," "
987,"Jeff Tyni",STL,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
988,"Ryan Vinz",BUF,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
989,"Rob Laurie",MIN,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
990,"Jeremy Smith",BOS,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
991,"Brett Leonhardt",WSH,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
992,"Johan Gustafsson",MIN,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
993,"Mike Murphy",CAR,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
994,"Jason Missiaen",NYR,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
995,"Jake Allen",STL,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
996,"Keith Kinkaid",NJD,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
997,"David LeNeveu",NYR,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
998,"Andrey Makarov",BUF,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
999,"Laurent Brossoit",EDM,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
1000,"Kurtis Mucha",EDM,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
1001,"Pat Conacher",VAN,G,"-3,170",1,0,0,0," "," "," "," "," "," "," "
