Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
170,"Evander Kane",WPG,LW,7,63," "," "," ",19,22,-7,66,250,5,36
171,"Jacob Trouba",WPG,D,7,65," "," "," ",10,19,4,43,121,3,132
172,"Hampus Lindholm",ANA,D,7,78," "," "," ",6,24,29,36,116,4,61
173,"Cody Franson",TOR,D,7,79," "," "," ",5,28,-20,30,115,18,111
174,"Brian Campbell",FLA,D,7,82," "," "," ",7,30,-6,20,116,12,108
175,"Christian Ehrhoff",PIT,D,6,79," "," "," ",6,27,-27,38,161,11,119
176,"Tyler Ennis",BUF,C/LW,6,80," "," "," ",21,22,-25,42,210,16,53
177,"Brayden Schenn",PHI,C/LW,6,82," "," "," ",20,21,0,54,178,9,37
178,"Olli Jokinen",NSH,C,6,82," "," "," ",18,25,-8,62,171,8,45
179,"David Desharnais",MTL,C,5,79," "," "," ",16,36,11,24,96,15,35
180,"Mikael Backlund",CGY,C,5,76," "," "," ",18,21,4,32,178,11,62
181,"Tyson Barrie",COL,D,5,64," "," "," ",13,25,17,20,101,10,57
182,"Craig Anderson",OTT,G,5,53,25,4,0.911," "," "," "," "," "," "," "
183,"Chris Kreider",NYR,LW,4,65," "," "," ",17,20,15,70,135,12,18
184,"Ben Lovejoy",ANA,D,4,78," "," "," ",5,13,21,39,107,1,150
185,"Dan Hamhuis",VAN,D,4,79," "," "," ",5,17,13,26,150,3,130
186,"Brendan Gallagher",MTL,RW,3,81," "," "," ",19,22,4,73,211,9,36
187,"Nick Foligno",CBJ,LW,3,70," "," "," ",18,21,5,96,111,6,42
188,"Justin Faulk",CAR,D,3,75," "," "," ",5,26,-11,37,147,8,101
189,"Alexander Semin",CAR,LW/RW,3,63," "," "," ",22,19,2,42,207,12,29
190,"Niklas Hjalmarsson",CHI,D,2,81," "," "," ",4,22,11,34,98,0,157
191,"Patrik Elias",NJD,C/LW,2,65," "," "," ",18,35,-4,30,116,17,19
192,"Alex Stalock",SJS,G,1,25,12,2,0.932," "," "," "," "," "," "," "
193,"Rick Nash",NYR,LW/RW,1,64," "," "," ",25,12,9,36,253,7,29
194,"Shane Doan",ARI,LW/RW,1,69," "," "," ",23,24,-7,34,167,19,22
195,"Andre Benoit",BUF,D,1,79," "," "," ",7,21,2,26,113,8,119
196,"Johan Franzen",DET,LW/RW,0,54," "," "," ",16,25,6,40,149,17,23
197,"Justin Williams",LAK,RW,0,82," "," "," ",19,24,14,48,239,7,21
198,"TJ Brodie",CGY,D,-0,81," "," "," ",4,27,0,20,104,7,130
199,"Alexander Edler",VAN,D,-1,63," "," "," ",7,15,-39,50,178,12,136
200,"Fedor Tyutin",CBJ,D,-1,69," "," "," ",4,22,6,44,87,9,89
201,"Martin St. Louis",NYR,RW,-1,80," "," "," ",30,38,13,10,199,3,38
202,"Dougie Hamilton",BOS,D,-1,64," "," "," ",7,18,22,40,114,6,53
203,"Jake Gardiner",TOR,D,-1,80," "," "," ",10,21,-3,19,136,11,87
204,"Braden Holtby",WSH,G,-2,48,23,3,0.915," "," "," "," "," "," "," "
205,"Ryan Ellis",NSH,D,-3,80," "," "," ",6,21,9,24,123,6,97
206,"Chad Johnson",NYI,G,-3,28,17,2,0.925," "," "," "," "," "," "," "
207,"Vladimir Sobotka",STL,C,-3,61," "," "," ",9,24,14,72,102,7,28
208,"Mike Ribeiro",NSH,C,-5,80," "," "," ",16,31,-13,52,110,15,18
209,"Dan Girardi",NYR,D,-5,80," "," "," ",5,18,6,16,97,3,172
210,"Brandon Saad",CHI,LW/RW,-5,78," "," "," ",19,28,20,20,159,8,20
211,"Matt Irwin",SJS,D,-5,62," "," "," ",2,17,5,35,147,6,93
212,"Justin Braun",SJS,D,-5,82," "," "," ",4,13,19,20,121,1,146
213,"Jared Spurgeon",MIN,D,-6,67," "," "," ",5,21,15,16,91,7,107
214,"Trevor Daley",DAL,D,-6,67," "," "," ",9,16,10,38,107,3,98
215,"Reilly Smith",BOS,RW,-6,82," "," "," ",20,31,28,14,146,14,14
216,"Joffrey Lupul",TOR,LW/RW,-6,69," "," "," ",22,22,-15,44,191,12,35
217,"Adam Henrique",NJD,C,-6,77," "," "," ",25,18,3,20,137,12,50
218,"Gustav Nyquist",DET,C/RW,-7,57," "," "," ",28,20,16,10,153,9,14
219,"Bryan Allen",ANA,D,-7,68," "," "," ",0,10,20,75,60,0,118
220,"Mathieu Perreault",WPG,C,-7,69," "," "," ",18,25,13,36,120,9,15
221,"Ryan Garbutt",DAL,RW,-7,75," "," "," ",17,15,10,106,165,0,47
222,"Jordan Staal",CAR,C/LW,-7,80," "," "," ",14,25,2,32,155,10,36
223,"Erik Gudbranson",FLA,D,-7,65," "," "," ",3,6,-7,114,92,1,91
224,"Mikkel Boedker",ARI,LW,-8,82," "," "," ",19,32,-9,20,166,16,16
225,"Kyle Quincey",DET,D,-8,82," "," "," ",4,9,-5,88,106,0,109
226,"Cory Schneider",NJD,G,-8,45,16,3,0.921," "," "," "," "," "," "," "
227,"Anton Khudobin",CAR,G,-8,36,19,1,0.925," "," "," "," "," "," "," "
228,"Willie Mitchell",FLA,D,-8,76," "," "," ",1,11,14,58,73,2,128
229,"Olli Maatta",PIT,D,-9,77," "," "," ",9,18,7,14,118,5,109
230,"Ryan Miller",VAN,G,-9,59,25,1,0.918," "," "," "," "," "," "," "
231,"Sean Couturier",PHI,C,-9,82," "," "," ",13,26,1,45,165,3,40
232,"Danny Dekeyser",DET,D,-9,65," "," "," ",4,19,10,30,84,4,116
233,"Roman Polak",TOR,D,-10,72," "," "," ",4,9,3,71,83,0,131
234,"Chris Neil",OTT,RW,-10,76," "," "," ",8,6,-10,211,99,1,18
235,"Eric Gelinas",NJD,D,-10,60," "," "," ",7,22,-3,22,124,17,20
236,"Carl Gunnarsson",STL,D,-11,80," "," "," ",3,14,12,34,48,1,176
237,"Thomas Hickey",NYI,D,-11,82," "," "," ",4,18,5,34,96,1,132
238,"Mike Cammalleri",CGY,LW,-11,63," "," "," ",26,19,-13,26,191,14,29
239,"Michael Frolik",WPG,C/RW,-11,81," "," "," ",15,27,8,12,189,2,51
240,"Joel Ward",WSH,RW,-11,82," "," "," ",24,25,7,32,133,10,67
241,"Braydon Coburn",PHI,D,-11,82," "," "," ",5,12,-6,63,122,0,115
242,"Frederik Andersen",ANA,G,-11,29,20,1,0.923," "," "," "," "," "," "," "
243,"Nick Leddy",CHI,D,-11,82," "," "," ",7,24,10,10,123,9,45
244,"Mike Richards",LAK,C/LW,-12,82," "," "," ",11,30,-6,28,157,12,21
245,"Jordie Benn",DAL,D,-12,78," "," "," ",3,17,16,30,91,0,122
246,"Benoit Pouliot",EDM,LW,-12,79," "," "," ",15,21,10,56,137,8,17
247,"Dustin Penner",WSH,LW,-12,67," "," "," ",14,21,25,30,119,11,24
248,"Justin Schultz",EDM,D,-12,74," "," "," ",11,22,-22,16,109,12,107
249,"Jiri Hudler",CGY,LW/RW,-12,75," "," "," ",17,37,4,16,109,13,15
250,"Patrick Maroon",ANA,LW,-13,62," "," "," ",11,18,11,101,93,4,16
251,"Eric Brewer",TBL,D,-13,77," "," "," ",4,13,10,59,83,0,99
252,"Zack Smith",OTT,C,-13,82," "," "," ",13,9,-9,111,154,1,28
